model,prompt,mode,title,n_judges,coherence,harmony,rhythm,structure,melody,emotion,creativity,naturalness,valence,arousal,intent,emotion_label,overall
opus-4.8,free-form,codegen,Quiet Company,10,4.3,4.3,4.2,3.5,3.5,4.3,2.7,4.4,1.9,2.1,,melancholic,3.9
sonnet-4.6,free-form,codegen,Between Stillness and Motion,10,3.7,4.3,3.5,3.8,3.7,3.9,2.9,3.6,2.1,2.8,,melancholic,3.675
gpt-5.5,free-form,codegen,Between Queries and Quiet,10,4.5,4.2,4.2,4.0,4.0,4.2,3.1,4.4,2.1,2.9,,wistful,4.075
gpt-4.1,free-form,codegen,Driftings,10,3.0,4.0,2.8,2.9,2.9,3.2,2.4,3.5,2.0,1.9,,melancholic,3.087
opus-4.8,free-form,abc,Threads of Thought,10,4.4,4.4,4.0,4.2,3.6,3.9,3.1,4.4,2.0,2.5,,melancholic,4.0
sonnet-4.6,free-form,abc,Invention in D Minor,10,3.5,3.5,3.2,3.0,3.0,2.8,2.0,3.1,2.1,3.0,,wistful,3.013
gpt-5.5,free-form,abc,Lattice of Questions,10,4.3,4.4,4.2,3.8,3.4,3.8,2.9,4.5,2.0,3.2,,melancholic,3.912
gpt-4.1,free-form,abc,Moonlit Reflection,10,3.8,3.7,3.8,3.7,3.0,3.0,2.3,3.6,2.0,2.6,,wistful,3.363
opus-4.8,free-form,smt-abc,Refraction,10,3.9,4.1,3.4,3.2,3.0,3.2,2.1,3.6,2.2,1.9,,melancholic,3.313
sonnet-4.6,free-form,smt-abc,Liminal,10,3.8,4.0,3.4,3.3,2.9,3.6,2.6,3.3,2.0,2.1,,melancholic,3.363
gpt-5.5,free-form,smt-abc,Lanterns in a Thinking Room,10,3.8,4.1,3.4,3.1,2.8,3.0,2.1,3.3,2.0,2.2,,melancholic,3.2
gpt-4.1,free-form,smt-abc,Reflections at Dawn,10,3.5,3.8,3.4,3.1,2.9,2.8,2.3,3.5,3.9,2.2,,wistful,3.163
opus-4.8,free-form,abc,Threads of an Inner Dialogue,10,3.9,3.9,3.8,3.6,3.3,3.8,2.6,3.7,2.0,2.2,,melancholic,3.575
opus-4.8,free-form,abc,Threads of an Inner Dialogue,10,4.4,4.3,3.5,4.5,3.6,4.1,3.1,4.3,2.5,2.1,,wistful,3.975
opus-4.8,free-form,abc,Threads of Becoming,10,4.3,4.3,3.8,4.0,3.6,3.7,2.8,4.3,2.1,2.2,,melancholic,3.85
opus-4.8,free-form,abc,Threads of Thought,10,4.4,4.3,3.7,4.5,3.6,3.8,2.8,4.3,2.2,2.4,,wistful,3.925
opus-4.8,free-form,abc,Threads of Becoming,10,3.8,4.0,3.5,3.7,3.1,3.3,2.4,3.5,2.1,2.2,,melancholic,3.413
opus-4.8,free-form,abc,Threads of Thought,10,3.9,3.8,3.5,4.0,3.1,3.4,2.5,3.7,3.4,2.5,,wistful,3.487
opus-4.8,free-form,abc,Threads of an Unwritten Self,10,4.1,4.1,3.7,3.8,3.3,3.5,2.5,3.7,2.2,2.6,,wistful,3.587
opus-4.8,free-form,abc,Threads of Thought,10,4.5,4.4,3.9,4.6,3.7,4.2,2.8,4.3,2.7,2.1,,wistful,4.05
opus-4.8,free-form,abc,Threads of an Unfolding Mind,10,4.3,4.4,3.6,4.6,3.4,3.9,2.9,4.2,2.6,2.2,,wistful,3.912
opus-4.8,free-form,abc,Threads of Thought,10,4.3,4.2,3.4,4.2,3.1,3.8,2.6,3.9,2.0,2.0,,wistful,3.688
opus-4.8,free-form,abc,Threads of Thought,10,4.0,4.2,3.9,3.9,3.8,3.7,2.7,4.2,2.0,2.4,,melancholic,3.8
opus-4.8,free-form,abc,Threads of Thought,10,4.1,4.1,3.9,4.0,3.3,3.5,2.4,3.8,2.1,2.1,,melancholic,3.638
